1600|Thomas|55|3bhKYLNomG
1601|John|47|8y8JjmEySy
1602|Rutherford|43|8uIvSkW7hT
1603|Ulysses|33|
1604|John|25|
1605|Rutherford|46|z5Gghe0acD
1606|Theodore|55|878eJQjvQg
1607|Bill|26|
1608|Dwight|43|9i4MygXHIe
1609|James|36|
1610|Lyndon|53|WR5430iAzh
1611|Ronald|30|
1612|George|49|sZiMCVUMSf
1613|Martin|57|rVjex22vTX
1614|Martin|34|
1615|Ronald|51|K1nGvnFXKE
1616|Martin|50|6N84sDBzxj
1617|Jimmy|42|1ZEzGqTxZY
1618|Martin|29|
1619|Chester|33|
1620|Zachary|60|yaTlbwAXOj
1621|Harry|45|BjQ1LnhudO
1622|Ronald|29|
1623|George|57|UdGPp9mOrm
1624|Benjamin|50|E3MnNkciKx
1625|Franklin|49|AJhUJ7o302
1626|Millard|44|RCHqJ9S2k2
1627|Dwight|27|
1628|Gerald|34|
1629|Lyndon|48|wb5UuvHe3N
1630|Harry|53|VbfzKvgqTa
1631|George|28|
1632|Ronald|60|WuUamTndJM
1633|Bill|38|
1634|Herbert|46|gbLWSMO5u6
1635|John|49|o2Evxqh084
1636|Dwight|60|KoeUZn3p3C
1637|Theodore|58|z7FIOjkut4
1638|Gerald|29|
1639|George|60|Jf5JXSzEun
1640|Theodore|34|
1641|Lyndon|57|KbCSWpijuO
1642|Benjamin|49|HPa9oI7M6s
1643|Ronald|44|aZQdIQ8jDG
1644|Andrew|41|2H8WMLDj5g
1645|Herbert|57|NixWu35TLY
1646|Zachary|31|
1647|Millard|42|glgro2zH3I
1648|Millard|54|gF5RpESq8y
1649|Martin|35|
1650|James|33|
1651|Martin|30|
1652|Ronald|31|
1653|Gerald|43|zogzUZrYUK
1654|Dwight|54|XQ1wR2GGfx
1655|Calvin|53|9MhyzQWzzM
1656|Gerald|30|
1657|James|28|
1658|Abraham|56|ymBqCPnq5G
1659|Andrew|56|BhlhOFxvFz
1660|Millard|52|caQoFkTGmF
1661|Grover|36|
1662|James|54|btz4ae3vLu
1663|Rutherford|35|
1664|Andrew|31|
1665|Martin|60|TNi3Yoix1o
1666|Thomas|43|qjxFXwQ93s
1667|Benjamin|46|WpZUfyWBO5
1668|Theodore|40|
1669|Andrew|38|
1670|Richard|53|X02gImnX9y
1671|Harry|26|
1672|Theodore|32|
1673|Ronald|35|
1674|Benjamin|40|
1675|Gerald|47|rVQFzm7tAJ
1676|Gerald|58|VdRDYffeID
1677|Bill|55|W54VJC0jWX
1678|Jimmy|48|CbzOLtDAUD
1679|Bill|27|
1680|Dwight|57|RbMHgRs8bS
1681|George|38|
1682|John|29|
1683|William|31|
1684|Jimmy|35|
1685|Benjamin|60|bOKfVklk2z
1686|Dwight|28|
1687|Warren|46|lAI7jYL2qf
1688|Ronald|25|
1689|Warren|58|4g8CzMNbbe
1690|Millard|39|
1691|John|42|rcZ3XYAN73
1692|Franklin|56|q8IkMGGqjT
1693|Rutherford|29|
1694|Bill|32|
1695|Woodrow|45|PwtO5I2Kxi
1696|James|51|ClxER1jCCF
1697|Herbert|25|
1698|Millard|60|eoV9CUBhOP
1699|Abraham|32|
